,INQ_YMD,YEAR,MONTH,DAY,PDLT_NM,NMYR_RATE,WHSL_DAIL_PRCE,WHSL_BFRT_PRCE,RTSL_BFRT_PRCE,RTSL_DAIL_PRCE
55966,20170525,2017,5,25,¸¶´Ã,17.514,6750.0,6750.0,10260.0,10260.0
55975,20170722,2017,7,22,¸¶´Ã,14.901,6400.0,6400.0,9488.0,9533.0
55982,20170723,2017,7,23,¸¶´Ã,14.901,6400.0,6400.0,9488.0,9533.0
55989,20170724,2017,7,24,¸¶´Ã,14.901,6400.0,6400.0,9488.0,9533.0
55996,20170725,2017,7,25,¸¶´Ã,14.901,6400.0,6400.0,9533.0,9566.0
55998,20170919,2017,9,19,¸¶´Ã,10.801,6350.0,6350.0,9496.0,9702.0
56005,20170920,2017,9,20,¸¶´Ã,10.801,6350.0,6350.0,9702.0,9753.0
56012,20170921,2017,9,21,¸¶´Ã,9.805,6350.0,6350.0,9753.0,9697.0
56019,20170922,2017,9,22,¸¶´Ã,9.805,6350.0,6350.0,9697.0,9750.0
56028,20171122,2017,11,22,¸¶´Ã,12.079,6560.0,6560.0,9254.0,9219.0
56035,20171123,2017,11,23,¸¶´Ã,12.079,6560.0,6560.0,9219.0,9219.0
56042,20171124,2017,11,24,¸¶´Ã,12.079,6560.0,6560.0,9219.0,9177.0
56051,20170526,2017,5,26,¸¶´Ã,16.992,6720.0,6750.0,10260.0,10274.0
56058,20170527,2017,5,27,¸¶´Ã,16.992,6720.0,6720.0,10274.0,10270.0
56065,20170528,2017,5,28,¸¶´Ã,16.992,6720.0,6720.0,10274.0,10270.0
56072,20170529,2017,5,29,¸¶´Ã,16.992,6720.0,6720.0,10274.0,10270.0
56082,20170726,2017,7,26,¸¶´Ã,14.901,6400.0,6400.0,9566.0,9586.0
56089,20170727,2017,7,27,¸¶´Ã,14.901,6400.0,6400.0,9586.0,9497.0
56096,20170728,2017,7,28,¸¶´Ã,14.901,6400.0,6400.0,9497.0,9556.0
56105,20170923,2017,9,23,¸¶´Ã,9.805,6350.0,6350.0,9750.0,9750.0
56112,20170924,2017,9,24,¸¶´Ã,9.805,6350.0,6350.0,9750.0,9750.0
56119,20170925,2017,9,25,¸¶´Ã,9.805,6350.0,6350.0,9750.0,9750.0
56126,20170926,2017,9,26,¸¶´Ã,9.805,6350.0,6350.0,9750.0,9711.0
56132,20170330,2017,3,30,¸¶´Ã,20.237,7100.0,7100.0,10408.0,10408.0
56139,20170331,2017,3,31,¸¶´Ã,20.237,7100.0,7100.0,10408.0,9857.0
56146,20170401,2017,4,1,¸¶´Ã,17.628,7100.0,7100.0,9857.0,9857.0
56153,20170402,2017,4,2,¸¶´Ã,17.628,7100.0,7100.0,9857.0,9857.0
56158,20170530,2017,5,30,¸¶´Ã,15.599,6640.0,6720.0,10270.0,10284.0
56165,20170531,2017,5,31,¸¶´Ã,15.599,6640.0,6640.0,10284.0,10287.0
56172,20170601,2017,6,1,¸¶´Ã,18.992,6660.0,6640.0,10287.0,10287.0
56179,20170602,2017,6,2,¸¶´Ã,18.992,6660.0,6660.0,10287.0,10189.0
56183,20170729,2017,7,29,¸¶´Ã,14.901,6400.0,6400.0,9556.0,9520.0
56190,20170730,2017,7,30,¸¶´Ã,14.901,6400.0,6400.0,9556.0,9520.0
56197,20170731,2017,7,31,¸¶´Ã,14.901,6400.0,6400.0,9556.0,9520.0
56204,20170801,2017,8,1,¸¶´Ã,15.523,6400.0,6400.0,9520.0,9479.0
56213,20170927,2017,9,27,¸¶´Ã,9.805,6350.0,6350.0,9711.0,9711.0
56220,20170928,2017,9,28,¸¶´Ã,9.805,6350.0,6350.0,9711.0,9740.0
56227,20170929,2017,9,29,¸¶´Ã,9.805,6350.0,6350.0,9740.0,9707.0
56239,20170403,2017,4,3,¸¶´Ã,17.628,7100.0,7100.0,9857.0,9857.0
56246,20170404,2017,4,4,¸¶´Ã,17.628,7100.0,7100.0,9857.0,9857.0
56253,20170405,2017,4,5,¸¶´Ã,17.628,7100.0,7100.0,9857.0,9847.0
56260,20170406,2017,4,6,¸¶´Ã,17.628,7100.0,7100.0,9847.0,9840.0
56265,20170603,2017,6,3,¸¶´Ã,18.992,6660.0,6660.0,10189.0,10185.0
56272,20170604,2017,6,4,¸¶´Ã,18.992,6660.0,6660.0,10189.0,10185.0
56279,20170605,2017,6,5,¸¶´Ã,18.992,6660.0,6660.0,10189.0,10185.0
56286,20170606,2017,6,6,¸¶´Ã,18.992,6660.0,6660.0,10185.0,10144.0
56291,20170802,2017,8,2,¸¶´Ã,15.523,6400.0,6400.0,9479.0,9479.0
56298,20170803,2017,8,3,¸¶´Ã,13.718,6300.0,6400.0,9479.0,9479.0
